row_idx	col_idx	intensity
1	1	2.53353423707926
1	2	2.55842782056792
1	3	2.67413472838243
1	4	3.00922543660845
1	5	2.58141171524408
1	6	2.98157331696880
1	7	2.79262017075358
1	8	3.03613713798978
1	9	2.90310106811769
1	10	2.57170856759195
1	11	3.00191127283420
1	12	3.03039497355208
1	13	2.78968516636678
1	14	2.69870134607668
1	15	2.72256689376927
1	16	2.65908414663175
1	17	3.02404100015530
1	18	2.51012430732365
1	19	2.74756988815024
1	20	2.62388201712655
2	1	2.61781479553473
2	2	2.52978670602526
2	3	2.64520426287744
2	4	2.99195929039332
2	5	2.75634942128131
2	6	2.69778779037560
2	7	3.07419760137065
2	8	3.29952677220207
2	9	3.33313706840588
2	10	2.83319922562758
2	11	3.25027906809261
2	12	3.02042926611145
2	13	2.49716282047109
2	14	2.73192208896199
2	15	2.67773351040283
2	16	2.57321141308949
2	17	3.22387240650577
2	18	2.74112293956044
2	19	2.47748042793425
2	20	2.38155881558816
3	1	2.68545270792462
3	2	2.48020270720811
3	3	2.91736365171385
3	4	3.06202103011941
3	5	2.40142891056874
3	6	2.72687207257060
3	7	3.00078084911764
3	8	3.37418357281864
3	9	2.96209439321645
3	10	3.01565143115548
3	11	2.79223223223223
3	12	3.10687160940326
3	13	2.59438259109312
3	14	2.82299617322933
3	15	2.69084266169154
3	16	2.69412809807231
3	17	3.13224796641924
3	18	2.83044927484841
3	19	2.38397573107070
3	20	2.47010616032479
4	1	2.17355057462261
4	2	1.89277425529370
4	3	2.26420641760024
4	4	2.51618543547091
4	5	2.25236380009005
4	6	2.31943070248877
4	7	2.50999549346553
4	8	2.97747511786276
4	9	2.69461212658477
4	10	2.17680916261782
4	11	2.90954927671639
4	12	2.58156061858104
4	13	2.12872413689852
4	14	2.49880521674040
4	15	2.27148225251057
4	16	2.10458174599699
4	17	2.81121700469242
4	18	2.31924595712674
4	19	2.08209608260654
4	20	2.22524455664247
5	1	2.32173349961627
5	2	2.27849488380036
5	3	2.49387960990920
5	4	3.06781351283969
5	5	2.43525500493869
5	6	2.69517958412098
5	7	3.02924778356640
5	8	2.92198650656405
5	9	3.03201374842213
5	10	2.85259989968233
5	11	3.09986033519553
5	12	3.02417744462536
5	13	2.39566511942375
5	14	2.77437843951885
5	15	2.60490092030857
5	16	2.39916377063423
5	17	3.08990054068487
5	18	2.54750504032258
5	19	2.12682720027132
5	20	2.41182279585697
6	1	2.20661935497683
6	2	2.40554578101275
6	3	2.35647813251481
6	4	2.64846633913159
6	5	2.37931931841325
6	6	2.45744841850376
6	7	2.73709101438085
6	8	3.10182825980063
6	9	2.79235464692875
6	10	2.61789481789482
6	11	2.81991957489588
6	12	2.64874770922419
6	13	2.44422054009820
6	14	2.53902073979046
6	15	2.41660116775208
6	16	2.30662330938976
6	17	3.09917635878174
6	18	2.39027558689802
6	19	2.26837863463970
6	20	2.19235593108456
7	1	2.16375053071440
7	2	2.27455992634142
7	3	2.36649198551958
7	4	2.83718760024496
7	5	2.35704911162334
7	6	2.36043534988191
7	7	2.51235310632495
7	8	2.88434301789785
7	9	2.80320313066164
7	10	2.65359244072027
7	11	2.69949463482174
7	12	2.84415470517730
7	13	2.55125272677214
7	14	2.44891733808491
7	15	2.37406498194946
7	16	2.41967120931463
7	17	3.11711503853076
7	18	2.61301396341369
7	19	1.97723690837896
7	20	2.28049796598539
8	1	2.16888292294140
8	2	2.06634070167804
8	3	2.24056751597801
